Date,Player,SO_y,SO_Prop,prop
2023-06-15,AJ Smith-Shawver,6,3.5,4.5
2023-06-14,Aaron Civale,7,3.5,4.5
2023-05-09,Aaron Nola,6,4.5,5.5
2023-05-14,Aaron Nola,4,4.5,5.5
2023-05-20,Aaron Nola,10,4.5,6.5
2023-05-25,Aaron Nola,7,5.0,5.5
2023-05-31,Aaron Nola,5,5.5,5.5
2023-06-10,Aaron Nola,7,6.0,6.5
2023-06-15,Aaron Nola,9,6.5,5.5
2023-05-12,Adam Wainwright,2,3.5,3.5
2023-05-18,Adam Wainwright,1,3.5,3.5
2023-05-23,Adam Wainwright,2,3.5,4.5
2023-05-29,Adam Wainwright,6,3.5,4.5
2023-06-11,Adam Wainwright,2,3.5,4.5
2023-05-13,Adrian Houser,2,3.5,3.5
2023-05-19,Adrian Houser,4,3.5,3.5
2023-05-24,Adrian Houser,3,3.5,3.5
2023-05-09,Alek Manoah,1,4.5,5.5
2023-05-15,Alek Manoah,3,4.5,4.5
2023-05-20,Alek Manoah,5,4.0,4.5
2023-05-25,Alek Manoah,6,4.0,5.5
2023-05-31,Alek Manoah,2,4.0,5.5
2023-05-11,Alex Cobb,3,5.0,4.5
2023-05-16,Alex Cobb,3,5.0,5.5
2023-05-23,Alex Cobb,8,5.0,5.5
2023-05-28,Alex Cobb,5,5.0,5.5
2023-06-08,Alex Cobb,7,5.5,4.5
2023-06-13,Alex Cobb,5,5.5,5.5
2023-05-13,Alex Faedo,7,3.5,3.5
2023-05-20,Alex Faedo,4,3.5,3.5
2023-05-25,Alex Faedo,10,3.5,4.5
2023-05-30,Alex Faedo,4,4.0,4.5
2023-05-15,Alex Wood,4,3.5,3.5
2023-05-21,Alex Wood,5,3.5,4.5
2023-05-26,Alex Wood,5,3.5,5.5
2023-05-31,Alex Wood,4,4.0,4.5
2023-06-10,Andrew Abbott,4,3.5,4.5
2023-05-09,Andrew Heaney,7,4.5,6.5
2023-05-14,Andrew Heaney,9,5.0,6.5
2023-05-21,Andrew Heaney,5,5.5,6.5
2023-05-27,Andrew Heaney,3,5.5,5.5
2023-06-09,Andrew Heaney,5,5.5,4.5
2023-06-14,Andrew Heaney,5,5.5,5.5
2023-05-13,Anthony DeSclafani,2,4.5,3.5
2023-05-19,Anthony DeSclafani,6,4.5,4.5
2023-05-24,Anthony DeSclafani,6,4.5,5.5
2023-05-29,Anthony DeSclafani,2,4.5,4.5
2023-06-14,Anthony DeSclafani,7,4.0,3.5
2023-05-10,Antonio Senzatela,1,3.5,3.5
2023-05-12,Austin Gomber,6,3.5,3.5
2023-05-17,Austin Gomber,1,3.5,3.5
2023-05-23,Austin Gomber,2,3.5,3.5
2023-05-28,Austin Gomber,3,3.5,2.5
2023-06-09,Austin Gomber,1,3.5,3.5
2023-06-14,Austin Gomber,5,3.5,3.5
2023-05-11,Bailey Ober,6,3.5,4.5
2023-05-16,Bailey Ober,6,4.5,4.5
2023-05-22,Bailey Ober,2,5.0,5.5
2023-05-28,Bailey Ober,7,5.0,4.5
2023-06-14,Bailey Ober,7,5.0,5.5
2023-05-30,Ben Lively,6,3.5,3.5
2023-06-09,Ben Lively,8,6.0,4.5
2023-06-14,Ben Lively,4,6.0,4.5
2023-05-12,Blake Snell,4,5.0,6.5
2023-05-19,Blake Snell,5,5.5,6.5
2023-05-25,Blake Snell,6,5.5,5.5
2023-05-31,Blake Snell,7,5.5,5.5
2023-06-11,Blake Snell,12,5.5,5.5
2023-05-23,Bobby Miller,5,3.5,3.5
2023-05-29,Bobby Miller,4,3.5,4.5
2023-06-10,Bobby Miller,7,3.5,5.5
2023-05-10,Brad Keller,4,3.5,2.5
2023-05-15,Brad Keller,2,3.5,3.5
2023-05-11,Brady Singer,4,4.5,4.5
2023-05-16,Brady Singer,3,4.5,4.5
2023-05-22,Brady Singer,3,4.5,4.5
2023-05-27,Brady Singer,6,4.5,4.5
2023-06-10,Brady Singer,4,4.5,3.5
2023-05-13,Brandon Bielak,4,3.5,3.5
2023-05-19,Brandon Bielak,9,3.5,4.5
2023-05-24,Brandon Bielak,3,3.5,4.5
2023-05-30,Brandon Bielak,6,3.5,4.5
2023-06-11,Brandon Bielak,4,4.0,3.5
2023-05-09,Brandon Pfaadt,3,3.5,4.5
2023-05-14,Brandon Pfaadt,5,3.5,4.5
2023-05-20,Brandon Pfaadt,3,3.5,4.5
2023-05-26,Brandon Pfaadt,4,3.5,3.5
2023-05-22,Brandon Williamson,3,3.5,4.5
2023-05-27,Brandon Williamson,3,3.5,4.5
2023-06-07,Brandon Williamson,3,3.5,4.5
2023-06-13,Brandon Williamson,1,3.5,4.5
2023-05-14,Braxton Garrett,8,4.0,4.5
2023-05-20,Braxton Garrett,8,4.5,4.5
2023-05-25,Braxton Garrett,3,5.0,4.5
2023-05-31,Braxton Garrett,7,5.0,4.5
2023-06-11,Braxton Garrett,9,5.5,4.5
2023-05-10,Brayan Bello,5,3.5,4.5
2023-05-17,Brayan Bello,7,4.0,5.5
2023-05-23,Brayan Bello,6,4.5,5.5
2023-05-30,Brayan Bello,4,5.0,5.5
2023-06-11,Brayan Bello,3,5.0,5.5
2023-06-10,Bryan Woo,7,3.5,4.5
2023-05-13,Bryce Elder,3,5.0,4.5
2023-05-19,Bryce Elder,6,5.0,5.5
2023-05-24,Bryce Elder,6,5.0,4.5
2023-05-30,Bryce Elder,5,5.0,5.5
2023-06-06,Bryce Elder,8,5.0,4.5
2023-06-11,Bryce Elder,1,5.0,4.5
2023-05-13,Bryce Miller,3,3.5,5.5
2023-05-19,Bryce Miller,4,5.0,4.5
2023-05-24,Bryce Miller,6,5.0,5.5
2023-05-29,Bryce Miller,3,5.0,5.5
2023-06-12,Bryce Miller,6,4.5,4.5
2023-05-13,Cal Quantrill,2,3.5,3.5
2023-05-19,Cal Quantrill,6,3.5,3.5
2023-05-24,Cal Quantrill,2,3.5,4.5
2023-05-30,Cal Quantrill,3,3.5,3.5
2023-05-19,Carlos Carrasco,3,3.5,3.5
2023-05-25,Carlos Carrasco,4,3.5,4.5
2023-05-31,Carlos Carrasco,4,3.5,4.5
2023-06-06,Carlos Carrasco,4,3.5,4.5
2023-06-11,Carlos Carrasco,1,3.5,4.5
2023-05-09,Charlie Morton,7,5.0,5.5
2023-05-15,Charlie Morton,10,5.5,6.5
2023-05-22,Charlie Morton,5,6.0,6.5
2023-05-27,Charlie Morton,9,6.0,6.5
2023-06-07,Charlie Morton,5,6.5,6.5
2023-06-08,Chase Anderson,7,3.5,3.5
2023-06-13,Chase Anderson,6,3.5,3.5
2023-05-12,Chris Bassitt,8,4.5,4.5
2023-05-17,Chris Bassitt,7,5.0,5.5
2023-05-22,Chris Bassitt,4,5.0,4.5
2023-05-27,Chris Bassitt,5,5.5,5.5
2023-06-07,Chris Bassitt,5,5.5,4.5
2023-06-13,Chris Bassitt,5,5.5,4.5
2023-05-13,Chris Sale,9,5.5,6.5
2023-05-20,Chris Sale,8,6.0,5.5
2023-05-26,Chris Sale,3,6.5,6.5
2023-06-01,Chris Sale,6,6.5,6.5
2023-05-09,Clarke Schmidt,7,5.0,6.5
2023-05-14,Clarke Schmidt,5,5.5,5.5
2023-05-19,Clarke Schmidt,6,5.5,5.5
2023-05-25,Clarke Schmidt,4,5.5,4.5
2023-05-31,Clarke Schmidt,7,5.5,5.5
2023-06-11,Clarke Schmidt,4,5.5,4.5
2023-05-10,Clayton Kershaw,8,6.5,7.5
2023-05-16,Clayton Kershaw,7,6.5,7.5
2023-05-21,Clayton Kershaw,6,7.0,6.5
2023-05-27,Clayton Kershaw,6,7.0,6.5
2023-06-08,Clayton Kershaw,9,7.0,7.5
2023-06-14,Clayton Kershaw,5,7.0,7.5
2023-05-28,Cody Bradford,5,3.5,4.5
2023-06-10,Cole Irvin,5,3.5,4.5
2023-05-23,Colin Rea,4,4.0,3.5
2023-05-28,Colin Rea,6,4.0,4.5
2023-06-08,Colin Rea,8,4.5,4.5
2023-06-14,Colin Rea,4,4.5,4.5
2023-05-09,Connor Seabold,3,3.5,3.5
2023-05-15,Connor Seabold,3,3.5,3.5
2023-05-21,Connor Seabold,5,3.5,3.5
2023-05-26,Connor Seabold,2,3.5,3.5
2023-06-07,Connor Seabold,4,3.5,3.5
2023-06-12,Connor Seabold,6,3.5,3.5
2023-05-12,Corbin Burnes,7,4.5,6.5
2023-05-22,Corbin Burnes,5,5.0,6.5
2023-05-27,Corbin Burnes,8,5.0,7.5
2023-06-13,Corbin Burnes,8,6.0,6.5
2023-05-14,Corey Kluber,5,4.0,4.5
2023-05-21,Corey Kluber,1,4.0,4.5
2023-05-10,Cristian Javier,11,5.5,6.5
2023-05-16,Cristian Javier,5,6.0,7.5
2023-05-22,Cristian Javier,5,6.5,6.5
2023-05-28,Cristian Javier,3,6.5,6.5
2023-06-09,Cristian Javier,2,6.0,4.5
2023-06-15,Cristian Javier,2,6.0,5.5
2023-05-16,Dane Dunning,4,3.5,3.5
2023-05-22,Dane Dunning,3,3.5,4.5
2023-05-31,Dane Dunning,6,3.5,4.5
2023-06-06,Dane Dunning,1,3.5,4.5
2023-06-12,Dane Dunning,3,3.5,4.5
2023-05-28,Daniel Lynch,6,3.5,4.5
2023-06-09,Daniel Lynch,4,3.5,4.5
2023-06-14,Daniel Lynch,3,4.5,4.5
2023-05-15,David Peterson,5,5.5,5.5
2023-05-10,Dean Kremer,4,4.0,4.5
2023-05-16,Dean Kremer,4,4.0,4.5
2023-05-21,Dean Kremer,7,4.0,4.5
2023-05-27,Dean Kremer,5,4.0,5.5
2023-06-13,Dean Kremer,6,5.0,3.5
2023-06-06,Dinelson Lamet,4,3.5,4.5
2023-06-11,Dinelson Lamet,5,3.5,4.5
2023-05-11,Drew Rasmussen,7,5.5,4.5
2023-05-09,Drew Rucinski,2,3.5,3.5
2023-05-15,Drew Rucinski,0,3.5,3.5
2023-05-12,Drew Smyly,4,4.5,4.5
2023-05-17,Drew Smyly,8,4.5,3.5
2023-05-23,Drew Smyly,5,5.0,4.5
2023-05-28,Drew Smyly,2,5.0,5.5
2023-06-08,Drew Smyly,4,5.0,4.5
2023-05-12,Dustin May,3,4.0,4.5
2023-05-17,Dustin May,2,4.0,5.5
2023-05-13,Dylan Cease,5,5.5,6.5
2023-05-18,Dylan Cease,3,5.5,6.5
2023-05-23,Dylan Cease,3,5.5,5.5
2023-05-28,Dylan Cease,8,5.5,6.5
2023-06-09,Dylan Cease,7,5.5,5.5
2023-06-15,Dylan Cease,10,5.5,5.5
2023-05-28,Dylan Covey,0,3.5,3.5
2023-05-25,Dylan Dodd,3,3.5,3.5
2023-05-10,Eduardo Rodriguez,8,5.0,5.5
2023-05-17,Eduardo Rodriguez,5,5.5,5.5
2023-05-28,Eduardo Rodriguez,6,6.0,5.5
2023-05-10,Edward Cabrera,5,6.0,5.5
2023-05-17,Edward Cabrera,6,6.5,5.5
2023-05-22,Edward Cabrera,6,6.5,4.5
2023-06-07,Edward Cabrera,4,6.5,6.5
2023-06-13,Edward Cabrera,4,6.5,6.5
2023-05-09,Eric Lauer,4,4.5,5.5
2023-05-09,Framber Valdez,12,6.0,5.5
2023-05-15,Framber Valdez,8,6.5,6.5
2023-05-21,Framber Valdez,7,7.0,7.5
2023-06-08,Framber Valdez,5,7.0,5.5
2023-06-14,Framber Valdez,6,7.0,6.5
2023-05-15,Freddy Peralta,4,6.0,5.5
2023-05-21,Freddy Peralta,4,6.5,5.5
2023-05-26,Freddy Peralta,4,6.0,6.5
2023-06-01,Freddy Peralta,3,5.5,5.5
2023-06-06,Freddy Peralta,9,5.5,5.5
2023-06-11,Freddy Peralta,5,5.5,7.5
2023-05-27,Garrett Whitlock,4,3.5,3.5
2023-06-09,Garrett Whitlock,6,3.5,4.5
2023-06-14,Garrett Whitlock,7,4.0,5.5
2023-05-22,Gavin Stone,1,3.5,3.5
2023-05-09,George Kirby,9,4.0,6.5
2023-05-15,George Kirby,6,4.5,4.5
2023-05-21,George Kirby,6,5.0,4.5
2023-05-26,George Kirby,4,5.0,5.5
2023-05-31,George Kirby,7,5.5,5.5
2023-06-07,George Kirby,3,5.5,5.5
2023-06-13,George Kirby,10,5.5,5.5
2023-05-17,Gerrit Cole,6,7.0,6.5
2023-05-23,Gerrit Cole,2,6.5,7.5
2023-05-28,Gerrit Cole,9,6.0,7.5
2023-06-09,Gerrit Cole,6,6.0,7.5
2023-06-14,Gerrit Cole,8,6.0,6.5
2023-05-12,Graham Ashcraft,3,4.0,3.5
2023-05-23,Graham Ashcraft,5,4.0,3.5
2023-05-28,Graham Ashcraft,6,4.0,4.5
2023-06-08,Graham Ashcraft,1,4.0,3.5
2023-05-09,Grayson Rodriguez,4,6.0,5.5
2023-05-15,Grayson Rodriguez,3,6.0,5.5
2023-05-20,Grayson Rodriguez,6,5.5,4.5
2023-05-26,Grayson Rodriguez,6,5.5,5.5
2023-05-10,Griffin Canning,3,4.0,4.5
2023-05-17,Griffin Canning,4,4.0,4.5
2023-05-23,Griffin Canning,5,4.0,4.5
2023-05-29,Griffin Canning,9,4.0,4.5
2023-06-11,Griffin Canning,7,4.5,5.5
2023-05-13,Hayden Wesneski,5,3.5,4.5
2023-06-06,Hayden Wesneski,4,3.5,4.5
2023-06-11,Hayden Wesneski,4,3.5,4.5
2023-06-07,Hogan Harris,2,3.5,4.5
2023-05-14,Hunter Brown,8,5.5,4.5
2023-05-20,Hunter Brown,9,5.5,6.5
2023-05-26,Hunter Brown,10,5.5,6.5
2023-05-31,Hunter Brown,8,6.5,7.5
2023-06-06,Hunter Brown,5,6.5,5.5
2023-06-13,Hunter Brown,4,7.0,5.5
2023-05-28,Hunter Gaddis,3,3.5,3.5
2023-05-10,Hunter Greene,4,6.0,5.5
2023-05-15,Hunter Greene,8,6.5,5.5
2023-05-21,Hunter Greene,10,6.5,6.5
2023-05-26,Hunter Greene,11,6.5,7.5
2023-06-01,Hunter Greene,8,7.0,6.5
2023-06-11,Hunter Greene,9,7.5,6.5
2023-05-12,J.P. France,3,3.5,4.5
2023-05-17,J.P. France,2,3.5,5.5
2023-05-23,J.P. France,8,3.5,4.5
2023-05-29,J.P. France,8,3.5,6.5
2023-06-10,J.P. France,6,4.5,3.5
2023-05-20,JP Sears,7,5.5,4.5
2023-05-25,JP Sears,1,5.5,5.5
2023-05-30,JP Sears,2,5.5,4.5
2023-06-11,JP Sears,5,5.0,5.5
2023-05-09,Jack Flaherty,3,5.0,6.5
2023-05-15,Jack Flaherty,10,5.0,5.5
2023-05-21,Jack Flaherty,5,5.0,5.5
2023-05-27,Jack Flaherty,4,5.5,4.5
2023-06-07,Jack Flaherty,8,5.5,5.5
2023-06-13,Jack Flaherty,3,5.5,5.5
2023-06-07,Jaime Barria,3,3.5,4.5
2023-05-14,Jake Irvin,6,3.5,3.5
2023-05-19,Jake Irvin,1,3.5,4.5
2023-05-25,Jake Irvin,4,3.5,3.5
2023-06-06,Jake Irvin,1,3.5,3.5
2023-05-21,James Kaprielian,5,4.5,4.5
2023-05-26,James Kaprielian,4,4.5,4.5
2023-05-31,James Kaprielian,4,5.0,4.5
2023-06-06,James Kaprielian,1,5.0,4.5
2023-06-12,James Kaprielian,4,4.5,4.5
2023-05-12,James Paxton,9,3.5,4.5
2023-05-19,James Paxton,5,3.5,5.5
2023-05-24,James Paxton,5,3.5,5.5
2023-05-31,James Paxton,8,5.0,5.5
2023-06-06,James Paxton,9,5.5,5.5
2023-06-12,James Paxton,8,6.0,7.5
2023-05-15,Jameson Taillon,1,4.5,4.5
2023-05-20,Jameson Taillon,1,4.5,3.5
2023-05-27,Jameson Taillon,5,4.0,4.5
2023-06-07,Jameson Taillon,5,3.5,4.5
2023-05-21,Jared Shuster,7,3.5,4.5
2023-05-26,Jared Shuster,5,3.5,4.5
2023-05-31,Jared Shuster,1,3.5,4.5
2023-06-10,Jared Shuster,0,3.5,3.5
2023-05-27,Jesse Scholtens,3,3.5,4.5
2023-05-10,Jhony Brito,3,3.5,4.5
2023-05-13,Joe Musgrove,5,3.5,5.5
2023-05-20,Joe Musgrove,6,4.0,5.5
2023-05-26,Joe Musgrove,6,4.5,5.5
2023-06-01,Joe Musgrove,3,4.5,5.5
2023-06-06,Joe Musgrove,8,5.0,6.5
2023-06-13,Joe Musgrove,5,5.0,5.5
2023-05-13,Joe Ryan,10,6.5,7.5
2023-05-19,Joe Ryan,9,6.5,6.5
2023-05-24,Joe Ryan,4,7.0,6.5
2023-05-30,Joe Ryan,6,7.0,6.5
2023-05-13,Joey Lucchesi,0,4.0,3.5
2023-05-14,Joey Wentz,3,4.0,4.5
2023-05-21,Joey Wentz,1,4.0,4.5
2023-05-26,Joey Wentz,4,3.5,4.5
2023-05-31,Joey Wentz,5,3.5,4.5
2023-05-12,Johan Oviedo,3,4.5,4.5
2023-05-19,Johan Oviedo,7,4.5,4.5
2023-05-24,Johan Oviedo,5,4.5,4.5
2023-06-10,Johan Oviedo,5,5.0,4.5
2023-05-13,Jon Gray,5,3.5,5.5
2023-05-20,Jon Gray,6,3.5,5.5
2023-05-26,Jon Gray,8,4.0,4.5
2023-06-07,Jon Gray,12,5.0,5.5
2023-05-09,Jordan Lyles,6,4.0,3.5
2023-05-14,Jordan Lyles,2,4.5,4.5
2023-05-20,Jordan Lyles,5,4.0,4.5
2023-05-26,Jordan Lyles,2,4.5,3.5
2023-06-07,Jordan Lyles,2,4.5,3.5
2023-06-13,Jordan Lyles,4,4.5,4.5
2023-05-10,Jordan Montgomery,3,5.0,5.5
2023-05-16,Jordan Montgomery,7,5.0,5.5
2023-05-22,Jordan Montgomery,4,5.0,5.5
2023-05-28,Jordan Montgomery,3,5.0,4.5
2023-06-09,Jordan Montgomery,6,5.0,5.5
2023-06-14,Jordan Montgomery,7,5.0,5.5
2023-05-10,Josiah Gray,3,5.0,5.5
2023-05-16,Josiah Gray,5,5.0,4.5
2023-05-21,Josiah Gray,2,5.0,5.5
2023-05-27,Josiah Gray,4,5.0,4.5
2023-06-14,Josiah Gray,5,4.5,3.5
