Date,Player,SO_Prop
5/9/2023 18:40,Aaron Nola,5.5
5/9/2023 18:40,Alek Manoah,5.5
5/9/2023 21:40,Andrew Heaney,6.5
5/9/2023 21:40,Brandon Pfaadt,4.5
5/9/2023 19:20,Charlie Morton,5.5
5/9/2023 19:05,Clarke Schmidt,6.5
5/9/2023 18:35,Connor Seabold,3.5
5/9/2023 19:05,Drew Rucinski,3.5
5/9/2023 19:40,Eric Lauer,5.5
5/9/2023 21:38,Framber Valdez,5.5
5/9/2023 21:40,George Kirby,6.5
5/9/2023 18:35,Grayson Rodriguez,5.5
5/9/2023 19:40,Jack Flaherty,6.5
5/9/2023 21:40,Jesus Luzardo,5.5
5/9/2023 19:40,Jordan Lyles,3.5
5/9/2023 21:45,Logan Webb,5.5
5/9/2023 19:40,Louie Varland,4.5
5/9/2023 19:40,Lucas Giolito,5.5
5/9/2023 18:35,Luis Ortiz,4.5
5/9/2023 18:40,Luke Weaver,4.5
5/9/2023 18:40,Max Scherzer,6.5
5/9/2023 18:10,Michael Lorenzen,3.5
5/9/2023 19:40,Michael Wacha,4.5
5/9/2023 19:20,Nick Pivetta,4.5
5/9/2023 19:40,Noah Syndergaard,3.5
5/9/2023 21:45,Patrick Corbin,4.5
5/9/2023 18:10,Shane Bieber,6.5
5/9/2023 21:38,Shohei Ohtani,7.5
5/9/2023 18:35,Zach Eflin,4.5
5/10/2023 12:35,Antonio Senzatela,3.5
5/10/2023 19:40,Brad Keller,2.5
5/10/2023 19:20,Brayan Bello,4.5
5/10/2023 13:40,Clayton Kershaw,7.5
5/10/2023 16:07,Cristian Javier,6.5
5/10/2023 18:35,Dean Kremer,4.5
5/10/2023 13:10,Eduardo Rodriguez,5.5
5/10/2023 15:40,Edward Cabrera,5.5
5/10/2023 16:07,Griffin Canning,4.5
5/10/2023 18:40,Hunter Greene,5.5
5/10/2023 12:35,Jhony Brito,4.5
5/10/2023 19:40,Jordan Montgomery,5.5
5/10/2023 15:45,Josiah Gray,5.5
5/10/2023 19:40,Justin Steele,5.5
5/10/2023 18:40,Justin Verlander,6.5
5/10/2023 16:05,Kevin Gausman,6.5
5/10/2023 12:35,Kyle Muller,3.5
5/10/2023 19:40,Lance Lynn,5.5
5/10/2023 15:40,Luis Castillo,6.5
5/10/2023 15:40,Merrill Kelly,5.5
5/10/2023 19:40,Pablo Lopez,6.5
5/10/2023 13:10,Peyton Battenfield,4.5
5/10/2023 12:35,Rich Hill,5.5
5/10/2023 15:45,Sean Manaea,4.5
5/10/2023 19:40,Seth Lugo,5.5
5/10/2023 13:40,Wade Miley,4.5
5/10/2023 16:05,Zack Wheeler,6.5
5/11/2023 21:40,Alex Cobb,4.5
5/11/2023 13:10,Bailey Ober,4.5
5/11/2023 14:10,Brady Singer,4.5
5/11/2023 19:05,Domingo German,5.5
5/11/2023 19:05,Drew Rasmussen,4.5
5/11/2023 12:35,Kodai Senga,5.5
5/11/2023 14:10,Mike Clevinger,4.5
5/11/2023 13:10,Yu Darvish,6.5
5/12/2023 19:10,Adam Wainwright,3.5
5/12/2023 20:40,Austin Gomber,3.5
5/12/2023 22:10,Blake Snell,6.5
5/12/2023 19:07,Chris Bassitt,4.5
5/12/2023 20:10,Corbin Burnes,6.5
5/12/2023 20:10,Drew Smyly,4.5
5/12/2023 22:10,Dustin May,4.5
5/12/2023 18:40,Eury Perez,4.5
5/12/2023 18:40,Graham Ashcraft,3.5
5/12/2023 20:10,J.P. France,4.5
5/12/2023 19:10,James Paxton,4.5
5/12/2023 19:05,Johan Oviedo,4.5
5/12/2023 21:40,Ken Waldichuk,5.5
5/12/2023 19:05,Kyle Bradish,4.5
5/12/2023 19:10,Logan Allen,4.5
5/12/2023 19:05,MacKenzie Gore,5.5
5/12/2023 18:40,Marco Gonzales,4.5
5/12/2023 21:40,Martin Perez,4.5
5/12/2023 18:40,Matt Boyd,5.5
5/12/2023 20:10,Michael Kopech,4.5
5/12/2023 20:10,Sonny Gray,6.5
5/12/2023 19:07,Spencer Strider,8.5
5/12/2023 20:40,Taijuan Walker,3.5
5/12/2023 19:10,Tyler Anderson,3.5
5/12/2023 19:05,Tylor Megill,3.5
5/13/2023 19:10,Adrian Houser,3.5
5/13/2023 13:10,Alex Faedo,3.5
5/13/2023 20:10,Anthony DeSclafani,3.5
5/13/2023 19:15,Brandon Bielak,3.5
5/13/2023 15:07,Bryce Elder,4.5
5/13/2023 13:10,Bryce Miller,5.5
5/13/2023 18:10,Cal Quantrill,3.5
5/13/2023 16:10,Chris Sale,6.5
5/13/2023 19:15,Dylan Cease,6.5
5/13/2023 14:10,Hayden Wesneski,4.5
5/13/2023 16:07,JP Sears,5.5
5/13/2023 19:15,Joe Musgrove,5.5
5/13/2023 14:10,Joe Ryan,7.5
5/13/2023 16:05,Joey Lucchesi,3.5
5/13/2023 16:07,Jon Gray,5.5
5/13/2023 15:07,Jose Berrios,5.5
5/13/2023 19:15,Julio Urias,4.5
5/13/2023 13:05,Nestor Cortes,4.5
5/13/2023 20:10,Ranger Suarez,3.5
5/13/2023 18:10,Reid Detmers,5.5
5/13/2023 19:05,Roansy Contreras,4.5
5/13/2023 20:10,Ryan Feltner,3.5
5/13/2023 13:05,Shane McClanahan,6.5
5/13/2023 16:10,Steven Matz,4.5
5/13/2023 16:05,Trevor Williams,3.5
5/13/2023 19:05,Tyler Wells,4.5
5/13/2023 20:10,Zac Gallen,6.5
5/13/2023 19:10,Zack Greinke,3.5
5/14/2023 15:10,Aaron Nola,5.5
5/14/2023 16:07,Andrew Heaney,6.5
5/14/2023 16:10,Brandon Pfaadt,4.5
5/14/2023 13:40,Braxton Garrett,4.5
5/14/2023 13:35,Clarke Schmidt,5.5
5/14/2023 19:10,Corey Kluber,4.5
5/14/2023 14:10,Hunter Brown,4.5
5/14/2023 16:35,Jake Irvin,3.5
5/14/2023 13:40,Joey Wentz,4.5
5/14/2023 14:10,Jordan Lyles,4.5
5/14/2023 15:10,Kyle Freeland,3.5
5/14/2023 13:35,Kyle Gibson,4.5
5/14/2023 13:40,Logan Gilbert,6.5
5/14/2023 16:10,Logan Webb,5.5
5/14/2023 14:10,Louie Varland,5.5
5/14/2023 14:10,Lucas Giolito,5.5
5/14/2023 13:40,Luke Weaver,4.5
5/14/2023 14:10,Marcus Stroman,5.5
5/14/2023 16:35,Max Scherzer,5.5
5/14/2023 19:10,Miles Mikolas,3.5
5/14/2023 13:35,Mitch Keller,4.5
5/14/2023 11:35,Patrick Sandoval,4.5
5/14/2023 11:35,Tanner Bibee,5.5
5/14/2023 16:10,Tony Gonsolin,4.5
5/14/2023 13:37,Yusei Kikuchi,5.5
5/14/2023 13:35,Zach Eflin,4.5
5/15/2023 19:07,Alek Manoah,4.5
5/15/2023 21:45,Alex Wood,3.5
5/15/2023 21:40,Brad Keller,3.5
5/15/2023 20:05,Charlie Morton,6.5
5/15/2023 20:40,Connor Seabold,3.5
5/15/2023 16:05,David Peterson,5.5
5/15/2023 21:40,Drew Rucinski,3.5
5/15/2023 20:10,Framber Valdez,6.5
5/15/2023 19:45,Freddy Peralta,5.5
5/15/2023 19:10,George Kirby,4.5
5/15/2023 18:35,Grayson Rodriguez,5.5
5/15/2023 20:40,Hunter Greene,5.5
5/15/2023 19:45,Jack Flaherty,5.5
5/15/2023 20:10,Jameson Taillon,4.5
5/15/2023 21:40,Merrill Kelly,6.5
5/15/2023 21:40,Michael Wacha,4.5
5/15/2023 22:10,Noah Syndergaard,3.5
5/15/2023 22:10,Pablo Lopez,5.5
5/15/2023 16:05,Patrick Corbin,3.5
5/15/2023 18:35,Shohei Ohtani,7.5
5/15/2023 19:10,Tanner Houck,4.5
5/16/2023 21:45,Alex Cobb,5.5
5/16/2023 22:10,Bailey Ober,4.5
5/16/2023 21:40,Brady Singer,4.5
5/16/2023 22:10,Clayton Kershaw,7.5
5/16/2023 20:10,Cristian Javier,7.5
5/16/2023 20:05,Dane Dunning,3.5
5/16/2023 18:35,Dean Kremer,4.5
5/16/2023 19:07,Domingo German,4.5
5/16/2023 18:40,Jesus Luzardo,5.5
5/16/2023 19:45,Jordan Montgomery,5.5
5/16/2023 18:40,Josiah Gray,4.5
5/16/2023 20:10,Justin Steele,4.5
5/16/2023 19:10,Justin Verlander,6.5
5/16/2023 19:07,Kevin Gausman,7.5
5/16/2023 21:40,Kyle Muller,4.5
5/16/2023 19:10,Luis Castillo,5.5
5/16/2023 18:40,Luis Ortiz,4.5
5/16/2023 18:40,Michael Lorenzen,4.5
5/16/2023 19:10,Nick Pivetta,5.5
5/16/2023 21:40,Seth Lugo,5.5
5/16/2023 19:45,Wade Miley,3.5
5/16/2023 21:45,Zack Wheeler,6.5
5/17/2023 15:10,Austin Gomber,3.5
5/17/2023 19:10,Brayan Bello,5.5
5/17/2023 19:07,Chris Bassitt,5.5
5/17/2023 20:10,Drew Smyly,3.5
5/17/2023 15:10,Dustin May,5.5
5/17/2023 13:10,Eduardo Rodriguez,5.5
5/17/2023 18:40,Edward Cabrera,5.5
5/17/2023 19:07,Gerrit Cole,6.5
5/17/2023 18:35,Griffin Canning,4.5
5/17/2023 20:10,J.P. France,5.5
5/17/2023 19:10,Kodai Senga,5.5
5/17/2023 18:35,Kyle Bradish,5.5
5/17/2023 15:37,Luis Medina,3.5
5/17/2023 18:40,MacKenzie Gore,6.5
5/17/2023 19:10,Marco Gonzales,3.5
5/17/2023 20:10,Mike Clevinger,4.5
5/17/2023 20:05,Nathan Eovaldi,6.5
5/17/2023 20:10,Peyton Battenfield,4.5
5/17/2023 13:10,Rich Hill,4.5
5/17/2023 15:45,Ross Stripling,3.5
5/17/2023 15:37,Ryne Nelson,4.5
5/17/2023 15:10,Sonny Gray,5.5
5/17/2023 20:05,Spencer Strider,9.5
5/17/2023 15:45,Taijuan Walker,4.5
5/18/2023 19:45,Adam Wainwright,3.5
5/18/2023 14:10,Dylan Cease,6.5
5/18/2023 13:10,Eury Perez,4.5
5/18/2023 19:07,Jose Berrios,5.5
5/18/2023 19:45,Julio Urias,4.5
5/18/2023 14:10,Logan Allen,5.5
5/18/2023 19:07,Nestor Cortes,4.5
5/18/2023 13:10,Taj Bradley,4.5
5/18/2023 13:10,Trevor Williams,4.5
5/18/2023 12:35,Tyler Anderson,4.5
5/18/2023 12:35,Tyler Wells,5.5
5/18/2023 13:10,Tylor Megill,4.5
5/19/2023 18:40,Adrian Houser,3.5
5/19/2023 22:15,Anthony DeSclafani,4.5
5/19/2023 21:40,Blake Snell,6.5
5/19/2023 20:10,Brandon Bielak,4.5
5/19/2023 19:20,Bryce Elder,5.5
5/19/2023 19:20,Bryce Miller,4.5
5/19/2023 19:10,Cal Quantrill,3.5
5/19/2023 19:10,Carlos Carrasco,3.5
5/19/2023 18:40,Clarke Schmidt,5.5
5/19/2023 19:05,Jake Irvin,4.5
5/19/2023 21:40,James Paxton,5.5
5/19/2023 21:38,Joe Ryan,6.5
5/19/2023 18:35,Johan Oviedo,4.5
5/19/2023 20:05,Karl Kauffmann,3.5
5/19/2023 20:10,Ken Waldichuk,3.5
5/19/2023 19:07,Kyle Gibson,4.5
5/19/2023 19:05,Marcus Stroman,4.5
5/19/2023 20:05,Martin Perez,5.5
5/19/2023 19:05,Matt Boyd,4.5
5/19/2023 20:10,Michael Kopech,5.5
5/19/2023 19:05,Ranger Suarez,4.5
5/19/2023 21:38,Reid Detmers,5.5
5/19/2023 22:15,Sandy Alcantara,6.5
5/19/2023 18:40,Shane McClanahan,7.5
5/19/2023 20:15,Steven Matz,4.5
5/19/2023 20:15,Tony Gonsolin,4.5
5/19/2023 19:07,Yusei Kikuchi,5.5
5/19/2023 18:35,Zac Gallen,6.5
5/19/2023 20:10,Zack Greinke,3.5
5/20/2023 16:05,Aaron Nola,6.5
5/20/2023 15:07,Alek Manoah,4.5
5/20/2023 16:05,Alex Faedo,3.5
5/20/2023 16:05,Brandon Pfaadt,4.5
5/20/2023 16:05,Braxton Garrett,4.5
5/20/2023 22:10,Chris Sale,5.5
5/20/2023 15:07,Grayson Rodriguez,4.5
5/20/2023 16:10,Hunter Brown,6.5
5/20/2023 16:10,JP Sears,4.5
5/20/2023 16:05,Jameson Taillon,3.5
5/20/2023 22:10,Joe Musgrove,5.5
5/20/2023 16:05,Jon Gray,5.5
5/20/2023 14:10,Jordan Lyles,4.5
5/20/2023 16:05,Kyle Freeland,4.5
5/20/2023 16:05,Logan Webb,5.5
5/20/2023 22:07,Louie Varland,5.5
5/20/2023 14:10,Lucas Giolito,6.5
5/20/2023 16:10,Max Scherzer,5.5
5/20/2023 19:15,Miles Mikolas,4.5
5/20/2023 16:05,Mitch Keller,5.5
5/20/2023 19:15,Noah Syndergaard,3.5
5/20/2023 16:05,Patrick Corbin,4.5
5/20/2023 22:07,Patrick Sandoval,5.5
5/20/2023 16:10,Tanner Bibee,4.5
5/21/2023 16:05,Alex Wood,4.5
5/21/2023 14:35,Andrew Heaney,6.5
5/21/2023 14:15,Clayton Kershaw,6.5
5/21/2023 14:35,Connor Seabold,3.5
5/21/2023 16:10,Corey Kluber,4.5
5/21/2023 13:37,Dean Kremer,4.5
5/21/2023 14:10,Framber Valdez,7.5
5/21/2023 13:40,Freddy Peralta,5.5
5/21/2023 13:35,George Kirby,4.5
5/21/2023 11:35,Hunter Greene,6.5
5/21/2023 14:15,Jack Flaherty,5.5
5/21/2023 14:10,James Kaprielian,4.5
5/21/2023 13:35,Jared Shuster,4.5
5/21/2023 16:05,Jesus Luzardo,6.5
5/21/2023 13:35,Joey Wentz,4.5
5/21/2023 13:35,Josiah Gray,5.5
5/21/2023 13:35,Justin Steele,5.5
5/21/2023 13:37,Kevin Gausman,6.5
5/21/2023 11:35,Luis Severino,5.5
5/21/2023 13:40,Max Scherzer,5.5
5/21/2023 13:35,Merrill Kelly,5.5
5/21/2023 16:10,Michael Wacha,4.5
5/21/2023 16:07,Pablo Lopez,7.5
5/21/2023 13:35,Roansy Contreras,3.5
5/21/2023 16:07,Shohei Ohtani,8.5
5/21/2023 13:35,Taijuan Walker,4.5
5/21/2023 13:40,Tanner Bibee,4.5
5/22/2023 19:40,Bailey Ober,5.5
5/22/2023 19:40,Brady Singer,4.5
5/22/2023 18:40,Brandon Williamson,4.5
5/22/2023 19:20,Charlie Morton,6.5
5/22/2023 18:40,Chris Bassitt,4.5
5/22/2023 19:40,Corbin Burnes,6.5
5/22/2023 19:40,Cristian Javier,6.5
5/22/2023 18:35,Dane Dunning,4.5
5/22/2023 20:40,Edward Cabrera,4.5
5/22/2023 19:20,Gavin Stone,3.5
5/22/2023 18:40,Jordan Montgomery,5.5
5/22/2023 21:40,Kyle Muller,4.5
5/22/2023 21:40,Luis Castillo,7.5
5/22/2023 18:35,Luis Ortiz,4.5
5/22/2023 19:40,Michael Lorenzen,4.5
5/22/2023 21:38,Tanner Houck,4.5
5/22/2023 18:40,Tommy Henry,4.5
5/22/2023 18:40,Zack Wheeler,6.5
5/23/2023 18:40,Adam Wainwright,4.5
5/23/2023 19:40,Alex Cobb,5.5
5/23/2023 20:40,Austin Gomber,3.5
5/23/2023 19:20,Bobby Miller,3.5
5/23/2023 21:38,Brayan Bello,5.5
5/23/2023 19:40,Colin Rea,3.5
5/23/2023 19:40,Drew Smyly,4.5
5/23/2023 18:10,Dylan Cease,5.5
5/23/2023 20:40,Eury Perez,4.5
5/23/2023 19:05,Gerrit Cole,7.5
5/23/2023 18:40,Graham Ashcraft,3.5
5/23/2023 21:38,Griffin Canning,4.5
5/23/2023 19:40,J.P. France,4.5
5/23/2023 18:40,Jose Berrios,4.5
5/23/2023 19:40,Kodai Senga,5.5
5/23/2023 19:05,Kyle Bradish,5.5
5/23/2023 18:10,Logan Allen,5.5
5/23/2023 21:40,Luis Medina,4.5
5/23/2023 19:05,MacKenzie Gore,5.5
5/23/2023 21:40,Marco Gonzales,4.5
5/23/2023 18:40,Matt Strahm,4.5
5/23/2023 18:35,Nathan Eovaldi,5.5
5/23/2023 18:35,Rich Hill,4.5
5/23/2023 18:40,Ryne Nelson,3.5
5/23/2023 19:40,Sonny Gray,6.5
5/23/2023 19:20,Spencer Strider,8.5
5/23/2023 18:40,Taj Bradley,4.5
5/23/2023 19:05,Yu Darvish,5.5
5/24/2023 13:10,Adrian Houser,3.5
5/24/2023 13:10,Anthony DeSclafani,5.5
5/24/2023 13:10,Brandon Bielak,4.5
5/24/2023 19:20,Bryce Elder,4.5
5/24/2023 21:40,Bryce Miller,5.5
5/24/2023 13:10,Cal Quantrill,4.5
5/24/2023 21:38,James Paxton,5.5
5/24/2023 13:10,Joe Ryan,6.5
5/24/2023 12:35,Johan Oviedo,4.5
5/24/2023 21:40,Ken Waldichuk,5.5
5/24/2023 12:35,Martin Perez,3.5
5/24/2023 19:40,Matt Boyd,4.5
5/24/2023 13:10,Michael Kopech,4.5
5/24/2023 19:05,Nestor Cortes,5.5
5/24/2023 13:05,Ranger Suarez,4.5
5/24/2023 20:40,Sandy Alcantara,5.5
5/24/2023 18:40,Shane McClanahan,5.5
5/24/2023 18:40,Steven Matz,5.5
5/24/2023 19:20,Tony Gonsolin,4.5
5/24/2023 19:05,Trevor Williams,3.5
5/24/2023 21:38,Tyler Anderson,4.5
5/24/2023 19:05,Tyler Wells,4.5
5/24/2023 18:40,Yusei Kikuchi,4.5
5/24/2023 13:05,Zac Gallen,6.5
5/24/2023 19:40,Zack Greinke,3.5
5/25/2023 19:20,Aaron Nola,5.5
5/25/2023 13:10,Alek Manoah,5.5
5/25/2023 18:40,Alex Faedo,4.5
5/25/2023 16:05,Blake Snell,5.5
5/25/2023 15:10,Braxton Garrett,4.5
5/25/2023 19:40,Carlos Carrasco,4.5
5/25/2023 19:05,Clarke Schmidt,4.5
5/25/2023 19:20,Dylan Dodd,3.5
5/25/2023 21:40,JP Sears,5.5
5/25/2023 16:05,Jake Irvin,3.5
5/25/2023 15:10,Kyle Freeland,3.5
5/25/2023 19:05,Kyle Gibson,4.5
5/25/2023 19:40,Kyle Hendricks,3.5
5/25/2023 21:40,Logan Gilbert,7.5
5/25/2023 18:40,Lucas Giolito,5.5
5/25/2023 12:35,Luke Weaver,4.5
5/25/2023 12:35,Miles Mikolas,4.5
5/25/2023 13:10,Zach Eflin,4.5
5/26/2023 20:10,Alex Wood,5.5
5/26/2023 21:40,Brandon Pfaadt,3.5
5/26/2023 21:40,Chris Sale,6.5
5/26/2023 20:40,Connor Seabold,3.5
5/26/2023 20:10,Freddy Peralta,6.5
